date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,gross_exposure,stop_active,in_regime,n_long,n_short,daily_return
2017-08-11,-57.5049018563345,1.7033227145351797,103377.07082298718,1.3855686739070856,0.0,1.3855686739070856,False,True,5,0,-0.0005559543455692095
2017-08-14,625.7413941153727,6.573673780496329,104002.81221710256,1.3569992910584865,0.0,1.3569992910584865,False,True,5,0,0.006052999849326612
2017-08-15,-281.7783037609419,0.13923349472510485,103721.03391334161,1.355896951970864,0.0,1.355896951970864,False,True,5,0,-0.0027093335050666356
2017-08-16,321.75324353935304,2.489222060512989,104042.78715688096,1.367303393698717,0.0,1.367303393698717,False,True,5,0,0.0031021021619219713
2017-08-17,-672.3839809897456,8.860962229771472,103370.40317589122,1.3454975553672002,0.0,1.3454975553672002,False,True,5,0,-0.006462571787661631
2017-08-18,110.88465803911042,2.519184473390677,103481.28783393033,1.334390709472284,0.0,1.334390709472284,False,True,5,0,0.001072692517706697
2017-08-21,63.40598736361583,3.4345042583636523,103544.69382129394,1.3223794642060718,0.0,1.3223794642060718,False,True,5,0,0.0006127290130499841
2017-08-22,289.0545237404885,4.882876490150754,103833.74834503443,1.2832835213777913,0.0,1.2832835213777913,False,True,5,0,0.002791591853459563
2017-08-23,428.9540240398196,1.9272665305954073,104262.70236907425,1.2852019580777891,0.0,1.2852019580777891,False,True,5,0,0.00413116188981677
2017-08-24,-239.7834793885629,0.524834460634092,104022.9188896857,1.285554030873338,0.0,1.285554030873338,False,True,5,0,-0.002299801117179534
2017-08-25,327.5804961413869,1.1427751090058091,104350.49938582708,1.2837941195057434,0.0,1.2837941195057434,False,True,5,0,0.0031491184792533655
2017-08-28,-100.39377225078755,1.1057538164623935,104250.10561357629,1.2837889139224528,0.0,1.2837889139224528,False,True,5,0,-0.0009620823363727382
2017-08-29,-0.34839538279259985,1.2085473325968876,104249.7572181935,1.2869892941423404,0.0,1.2869892941423404,False,True,5,0,-3.341918751509354e-06
2017-08-30,5.06027259384861,1.2325698728467287,104254.81749078735,1.2861380496629136,0.0,1.2861380496629136,False,True,5,0,4.8539898114707825e-05
2017-08-31,975.5928732925554,5.550528620802485,105230.4103640799,1.266977452953534,0.0,1.266977452953534,False,True,5,0,0.00935777258809889
2017-09-01,-279.10902057720875,83.34448749807869,104951.3013435027,1.3504027836915056,0.0,1.3504027836915056,False,True,6,0,-0.002652360849031532
2017-09-05,611.9509035933403,9.579853621330257,105563.25224709604,1.39259565663053,0.0,1.39259565663053,False,True,6,0,0.005830808153492573
2017-09-06,10.188205370581954,1.0140078974002773,105573.44045246662,1.3947015376379766,0.0,1.3947015376379766,False,True,6,0,9.651280302280796e-05
2017-09-07,826.2904937984459,2.873251286145885,106399.73094626506,1.4041675551012578,0.0,1.4041675551012578,False,True,6,0,0.007826689082567784
2017-09-08,-303.73261900293505,7.744512272418646,106095.99832726212,1.4258082625696962,0.0,1.4258082625696962,False,True,6,0,-0.002854637096369461
2017-09-11,-279.8618693356661,4.422229113313754,105816.13645792645,1.4426559129392769,0.0,1.4426559129392769,False,True,6,0,-0.002637817389421371
2017-09-12,61.566053231042105,2.090781759079636,105877.70251115749,1.4526500827925464,0.0,1.4526500827925464,False,True,6,0,0.0005818210274151081
2017-09-13,-390.02472866726225,1.3864484617734587,105487.67778249022,1.4451412971359963,0.0,1.4451412971359963,False,True,6,0,-0.003683728673902431
2017-09-14,240.64787142497693,0.8609679924483002,105728.3256539152,1.4455091087097653,0.0,1.4455091087097653,False,True,6,0,0.002281288928562608
2017-09-15,98.13998910657833,13.22290104068707,105826.46564302179,1.4750631243466266,0.0,1.4750631243466266,False,True,6,0,0.0009282279701261498
2017-09-18,-376.0704475995222,3.4756255456558405,105450.39519542227,1.4912685451769054,0.0,1.4912685451769054,False,True,6,0,-0.0035536521541604804
